[12:58:57][177.159.42.139]> Testando a função logger ! 
[13:20:19][177.159.42.139]> Testando a função logger ! 
[13:24:59][177.159.42.139]> admin logou no sistema. 
[13:28:34][177.159.42.139]> admin logou no sistema. 
[13:34:26][177.159.42.139]> admin logou no sistema. 
[13:35:51][177.159.42.139]> globo logou no sistema. 
[13:37:10][177.159.42.139]> bradesco logou no sistema. 
[13:41:56][177.159.42.139]> admin logou no sistema. 
[13:46:44][177.159.42.139]> globo logou no sistema. 
[13:56:46][177.159.42.139]> admin logou no sistema. 
[14:16:18][177.159.42.139]> admin logou no sistema. 
[14:21:50][141.0.11.61]> admin logou no sistema. 
[14:46:10][177.159.42.139]> admin logou no sistema. 
[15:09:43][177.159.42.139]> admin logou no sistema. 
[15:15:40][177.159.42.139]> admin logou no sistema. 
[15:25:15][177.159.42.139]> admin logou no sistema. 
[15:25:59][177.159.42.139]> admin logou no sistema. 
[15:26:58][177.159.42.139]> admin logou no sistema. 
[15:32:29][177.159.42.139]> admin logou no sistema. 
[15:36:34][177.187.68.36]> admin logou no sistema. 
[15:44:58][177.187.68.36]> globo logou no sistema. 
[15:46:26][177.187.68.36]> admin logou no sistema. 
[15:50:32][177.159.42.139]> globo logou no sistema. 
[15:51:24][177.159.42.139]> admin logou no sistema. 
[15:54:32][177.159.42.139]> admin logou no sistema. 
